nombre,precio,descuento,imagen,link
Computador Portatil Asus Ryzen 7 Ram 16gb Disco 1tera Ssd,2.949.900,2.949.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1723717750-computador-portatil-asus-ryzen-7-ram-16gb-disco-1tera-ssd-_JM#position=55&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Disco sólido SSD interno Adata Ultimate SU650 ASU650SS-120GT-R 120GB,61.250,61.250,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mercadolibre.com.co/disco-solido-ssd-interno-adata-ultimate-su650-asu650ss-120gt-r-120gb/p/MCO12791291?pdp_filters=category:MCO1648#searchVariation=MCO12791291&position=13&search_layout=stack&type=product&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Cpu Torre+4ram+hd500,359.999,359.999,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-921221877-cpu-torre4ramhd500-_JM#position=56&search_layout=stack&type=item&tracking_id=3ae36292-89d8-451b-906c-0f435f972428
Memoria RAM color verde 4GB 1 Samsung M378B5273DH0-CH9,34.900,34.900,https://http2.mlstatic.com/D_NQ_NP_690857-MLA52222407666_102022-V.webp,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=YxtFMxGiEwXQAA4d81%2FPHb9hcQjrcsHCYhU8MsFNge4KNHORehHJtmaI%2BzUocvmyqdfVW0%2FKk3hOLiNRP%2B8k1NUacd7i5KzNR1T9KbRjURv8j7iiyGUExmQ2qXidPm0hg1BIIe%2BqJ0i4QCHCF5iWmw5iaw5bzW7TDisN05RqoR6ak5ENm28FATYEoogG1Ig5uSncRWc83MO0C%2Bsc5qdeE%2F%2F%2FX%2BaG86QZYxjeZjxXLdNW0xOMlX9jlqHIGy%2FC0M4d1tMYSFC6RjFXkFOE8b4joCGbH9DrbuCTkuciWeEw2GuD9R8%2Bb%2FBGjQCSZWtT4MS3%2BNOP8bDShfoL5W%2FBP9es5l4ELtE8jmklrI9mXAClORcTX8FtjRmwLkGl4AozpRoWbHcHuLcjTbQ79DSeah4FRPme0hMFZei7g7hMolkPVeSYQXUEE%2BA6PQRUtzM%2FiopiY2%2FUTPyTZyXURwEwT%2BEtpeA%2FsxUWEMRRF8k7UxUDsC%2F82Kevs5RgcOkWZWtsvPkcdz630lw0lktLECqatY4WLtK8GcnTGCaMWzXGOOgN1Y54oSkSGuqQNyOXlXbmm8S44bB9aLMU%2FRaf5UOp3WUvVuIArdBDwwk1BPOyF5DYJVb%2Fb8UeFphSjwLAVBo0JFDzfjTWt0zb50b9%2BjV98YhKdqmbQ%2B7kJKnEuqZLeIYbLRWDzW7N5YFIZF%2Fq%2BeSttxzkWbeTaVKoEecCme6Lf4%2F8%2BNv0aBXjdI%2B%2FFsr3ccv7GT6cYLVr154jE1nAa2N406kb3zHrUB4sZMycvSjsrRmmEU0wNxsQLMu0Eh%2Fwva4jvKZQfS00fbosRg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fpads-score-mla%2B17263%2Cmclics%2Flax-top-domain%2B23443&rb=x
Mini Teclado Inalámbrico Android Smart Tv Iluminado Tvbox,24.416,24.416,https://http2.mlstatic.com/D_NQ_NP_611361-MCO49025704702_022022-V.webp,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=6ZcOKcmGaEviK0KvfUgin9OE8hFOENBcSM0GTj%2FgfTqSzZXN9HE%2BY1bYglPdj9PGajw0zvoj9nHd1Tt2HLrySpTNyhzlrBWutgHzMhYpCoOTbhjFI9FxEfDJ9%2BDN5c%2BJD2xgg2dqrdQn8L5%2BYisIY58Ap2ZTgdfF0WrQ%2FzkondoiNraSuAWR6hF%2FPSjIDyqLe6u5lRnlWNiMku1FqUhIJEBkWJeJ%2Bz7ZD5GcOT3HBU8Nv74UNNJRPyOZqFKwLq4UjvLmxx9rLoUXc%2Fw3QKbZCqwatfPzZPRp7ZYcdyNXvr7INtlnEfv8vBEKB4VjzfxV1Fy6rdtGfvIU3xx9EqkRlD03fgYGSoepVvGfMUpXZSvpVAJ2U7vCDfBYBfenFK1msi9vhZeg%2B53ZepFJJJ3hnUj42xmst5EL%2BZzQneJh%2BrufgFPDo9pk3edTNg6eFrb4d494BeO%2FRMU9d%2BbWbGurZRKxx%2FG2wfPqPPZ8pffwvvoVmaGHA%2Fw74pXUS%2F1veAF53tuwms%2FNM4CLhvbr%2BWV8rwC7ucc%2FFK0rYFfQCsU8wGmtnAEuTK7eWv5TD2MwVfXex0YkXBCnlUNb%2BAmoUKjVvAshe%2Fb2oYecJwf7F%2Bkc598P3a5Z3SGCd62fD2RjUY6fKkLEe58dDcXXm7xF8IA9sBYngN7rhl4TVr7jPLAN%2BfvDArOXzZK3okYwZ4urk%2B409gLrWNoIcdFECfHc3DZOTkmkaHc9byBn8v5syVW1Zf5JwlyxDhJ%2FFQpa4XnujLU4OqfTaijkZX7lp64y08pAOWGjWfesCUm2KQcIP2LIioxZcWTI41cRX0w%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fpads-score-mla%2B17263%2Cmclics%2Flax-top-domain%2B23443&rb=x
Computador Todo En Uno Lenovo24 Ryzen3 Ram8gb 1tr Hhd+256ssd,3.358.800,3.358.800,https://http2.mlstatic.com/D_NQ_NP_865007-MCO47991532467_102021-V.webp,https://articulo.mercadolibre.com.co/MCO-824332509-computador-todo-en-uno-lenovo24-ryzen3-ram8gb-1tr-hhd256ssd-_JM#position=11&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
Computador Portátil Hp Pavilion Core I5 24gb 1tera Ssd,2.898.900,2.898.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-1633811758-computador-portatil-hp-pavilion-core-i5-24gb-1tera-ssd-_JM#position=12&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
Torre Cpu Amd Ryzen 9 5900x Gpu Hdmi 1tb 16gb Pc,5.299.900,5.299.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-599372230-torre-cpu-amd-ryzen-9-5900x-gpu-hdmi-1tb-16gb-pc-_JM#position=13&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
Computador Portatil Asus X543 Core I5 Octava- 256gb Ssd 8gb,2.400.000,2.400.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://articulo.mercadolibre.com.co/MCO-879842050-computador-portatil-asus-x543-core-i5-octava-256gb-ssd-8gb-_JM#position=14&search_layout=stack&type=item&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
Mouse Genius DX-120 calm black,14.787,14.787,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mercadolibre.com.co/mouse-genius-dx-120-calm-black/p/MCO6280151?pdp_filters=category:MCO1648#searchVariation=MCO6280151&position=3&search_layout=stack&type=product&tracking_id=66458c8f-6822-4838-853c-3a2692ad24d0
